Date,Price,Open,High,Low,Change %
10/03/2021,"7,718.79","7,700.19","7,734.52","7,673.96",0.26%
09/30/2021,"7,698.82","7,730.63","7,743.16","7,698.10",-0.41%
09/29/2021,"7,730.63","7,755.85","7,755.85","7,706.91",-0.33%
09/28/2021,"7,756.31","7,751.40","7,766.40","7,741.53",0.06%
09/27/2021,"7,751.76","7,774.09","7,781.21","7,742.28",-0.30%
09/26/2021,"7,774.81","7,825.25","7,839.73","7,763.56",-0.64%
09/23/2021,"7,824.79","7,783.73","7,825.71","7,751.34",0.55%
09/22/2021,"7,781.83","7,754.80","7,786.51","7,744.66",0.35%
09/21/2021,"7,754.33","7,745.70","7,755.09","7,665.14",0.11%
09/20/2021,"7,745.70","7,808.43","7,829.59","7,742.05",-0.80%
09/19/2021,"7,808.09","7,883.22","7,890.32","7,807.91",-0.95%
09/16/2021,"7,883.22","7,823.68","7,883.38","7,789.11",0.76%
09/15/2021,"7,823.68","7,761.81","7,826.39","7,755.76",0.80%
09/14/2021,"7,761.81","7,765.15","7,772.85","7,739.36",-0.04%
09/13/2021,"7,764.69","7,819.66","7,819.66","7,694.70",-0.70%
09/12/2021,"7,819.66","7,860.57","7,866.69","7,819.66",-0.52%
09/09/2021,"7,860.57","7,771.01","7,876.77","7,747.15",1.15%
09/08/2021,"7,771.04","7,717.43","7,771.04","7,716.35",0.68%
09/07/2021,"7,718.34","7,628.02","7,718.49","7,626.84",1.18%
09/06/2021,"7,628.48","7,637.83","7,651.92","7,580.38",-0.11%
09/05/2021,"7,636.88","7,652.98","7,654.33","7,616.71",-0.21%
09/02/2021,"7,652.98","7,650.68","7,662.09","7,605.65",0.05%
09/01/2021,"7,649.31","7,685.07","7,695.02","7,643.74",-0.46%
08/31/2021,"7,684.62","7,686.24","7,686.56","7,649.02",0.00%
08/30/2021,"7,684.87","7,652.02","7,685.03","7,636.01",0.43%
08/29/2021,"7,652.15","7,623.58","7,652.23","7,614.05",0.36%
08/26/2021,"7,625.01","7,665.06","7,665.12","7,597.90",-0.52%
08/25/2021,"7,665.15","7,681.75","7,685.04","7,636.06",-0.21%
08/24/2021,"7,681.53","7,683.98","7,686.52","7,649.52",-0.03%
08/23/2021,"7,683.98","7,679.36","7,686.71","7,652.28",0.06%
08/22/2021,"7,679.24","7,620.21","7,682.70","7,615.25",0.77%
08/19/2021,"7,620.21","7,694.59","7,694.86","7,620.21",-0.97%
08/18/2021,"7,694.59","7,730.59","7,730.99","7,660.20",-0.46%
08/17/2021,"7,729.87","7,663.25","7,730.02","7,654.26",0.87%
08/16/2021,"7,662.86","7,600.93","7,680.21","7,593.04",0.81%
08/15/2021,"7,601.64","7,594.35","7,650.56","7,584.44",0.10%
08/11/2021,"7,594.35","7,558.73","7,665.94","7,552.11",0.47%
08/10/2021,"7,558.73","7,572.77","7,593.93","7,548.42",-0.19%
08/09/2021,"7,572.82","7,501.52","7,573.23","7,501.52",0.95%
08/08/2021,"7,501.38","7,419.73","7,521.95","7,416.49",1.11%
08/05/2021,"7,419.27","7,406.56","7,419.84","7,376.54",0.19%
08/04/2021,"7,405.09","7,433.10","7,443.22","7,401.67",-0.38%
08/03/2021,"7,433.38","7,403.61","7,433.74","7,395.86",0.39%
08/02/2021,"7,404.33","7,391.74","7,405.30","7,323.42",0.15%
08/01/2021,"7,393.11","7,318.90","7,505.17","7,318.90",1.02%
07/29/2021,"7,318.18","7,245.22","7,318.18","7,245.22",1.03%
07/28/2021,"7,243.78","7,170.01","7,283.74","7,123.67",1.02%
07/27/2021,"7,170.96","7,173.83","7,263.13","7,150.38",0.03%
07/26/2021,"7,169.03","7,105.76","7,169.03","7,084.24",0.89%
07/25/2021,"7,105.76","7,067.43","7,141.23","7,067.43",0.58%
07/18/2021,"7,065.13","7,068.98","7,103.99","7,064.24",-0.05%
07/15/2021,"7,068.98","7,080.88","7,103.51","7,051.78",-0.15%
07/14/2021,"7,079.50","7,046.47","7,079.50","7,027.02",0.47%
07/13/2021,"7,046.47","7,020.84","7,062.60","7,016.20",0.34%
07/12/2021,"7,022.68","6,993.27","7,037.86","6,993.27",0.42%
07/11/2021,"6,993.27","6,963.23","7,014.69","6,961.28",0.43%
07/08/2021,"6,963.23","6,969.18","7,004.56","6,957.20",-0.09%
07/07/2021,"6,969.64","6,985.02","6,995.44","6,948.81",-0.22%
07/06/2021,"6,984.89","6,995.78","7,057.56","6,977.19",-0.15%
07/05/2021,"6,995.32","6,947.69","7,041.04","6,936.74",0.67%
07/04/2021,"6,948.63","6,901.57","6,981.59","6,901.57",0.72%
07/01/2021,"6,899.27","6,835.43","6,998.54","6,835.43",0.93%
06/30/2021,"6,835.43","6,761.65","6,835.63","6,756.31",1.07%
06/29/2021,"6,763.08","6,749.16","6,776.56","6,698.63",0.21%
06/28/2021,"6,749.16","6,706.65","6,812.82","6,705.19",0.63%
06/27/2021,"6,706.65","6,577.51","6,710.23","6,577.51",1.99%
06/24/2021,"6,576.05","6,641.75","6,646.08","6,575.67",-1.01%
06/23/2021,"6,642.97","6,651.11","6,652.51","6,625.53",-0.12%
06/22/2021,"6,650.95","6,614.97","6,650.95","6,608.94",0.53%
06/21/2021,"6,615.94","6,647.44","6,647.63","6,615.77",-0.50%
06/20/2021,"6,648.91","6,646.83","6,685.56","6,645.07",0.03%
06/17/2021,"6,646.83","6,692.69","6,692.69","6,639.75",-0.75%
06/16/2021,"6,697.09","6,740.68","6,743.59","6,688.72",-0.65%
06/15/2021,"6,740.68","6,737.58","6,743.60","6,712.77",0.07%
06/14/2021,"6,736.11","6,701.88","6,741.11","6,701.16",0.51%
06/13/2021,"6,701.88","6,716.62","6,726.66","6,694.82",-0.21%
06/10/2021,"6,716.14","6,712.71","6,723.39","6,686.44",0.07%
06/09/2021,"6,711.30","6,670.65","6,714.75","6,670.65",0.61%
06/08/2021,"6,670.65","6,643.30","6,673.08","6,628.15",0.37%
06/07/2021,"6,646.14","6,624.48","6,649.75","6,602.27",0.34%
06/06/2021,"6,623.41","6,607.11","6,641.13","6,607.11",0.26%
06/03/2021,"6,606.13","6,626.24","6,626.53","6,587.67",-0.30%
06/02/2021,"6,626.24","6,612.16","6,635.28","6,596.01",0.19%
06/01/2021,"6,613.37","6,563.95","6,613.37","6,551.12",0.83%
05/31/2021,"6,558.71","6,513.09","6,558.71","6,496.31",0.70%
05/30/2021,"6,513.09","6,548.19","6,558.90","6,500.35",-0.54%
05/27/2021,"6,548.19","6,564.31","6,564.31","6,478.18",-0.25%
05/26/2021,"6,564.31","6,633.23","6,646.11","6,551.96",-1.03%
05/25/2021,"6,632.90","6,615.05","6,648.56","6,610.94",0.28%
05/24/2021,"6,614.56","6,545.62","6,649.41","6,545.62",1.05%
05/23/2021,"6,546.10","6,517.85","6,560.40","6,516.23",0.43%
05/20/2021,"6,517.85","6,519.10","6,550.77","6,473.23",-0.01%
05/19/2021,"6,518.61","6,529.07","6,543.63","6,500.50",-0.15%
05/18/2021,"6,528.39","6,475.95","6,530.82","6,439.91",0.78%
05/17/2021,"6,477.57","6,428.92","6,487.76","6,422.45",0.77%
05/16/2021,"6,427.94","6,209.43","6,443.15","6,209.02",3.52%
05/10/2021,"6,209.43","6,218.70","6,220.39","6,178.12",-0.14%
05/09/2021,"6,218.22","6,154.52","6,218.22","6,153.19",1.07%
05/06/2021,"6,152.09","6,116.42","6,165.73","6,110.93",0.59%
05/05/2021,"6,115.94","6,119.84","6,152.34","6,098.65",-0.02%
05/04/2021,"6,117.46","6,094.33","6,120.06","6,084.07",0.37%
05/03/2021,"6,094.73","6,079.29","6,099.83","6,075.97",0.29%
05/02/2021,"6,076.84","6,046.74","6,084.58","6,044.10",0.50%
04/29/2021,"6,046.81","6,084.09","6,100.23","6,027.80",-0.60%
04/28/2021,"6,083.28","6,121.03","6,127.51","6,082.97",-0.60%
04/27/2021,"6,120.22","6,146.80","6,148.01","6,108.25",-0.42%
04/26/2021,"6,146.32","6,121.08","6,146.32","6,106.05",0.48%
04/25/2021,"6,117.17","6,101.63","6,119.83","6,096.31",0.25%
04/22/2021,"6,101.63","6,062.78","6,101.63","6,047.79",0.67%
04/21/2021,"6,061.31","6,154.35","6,154.35","6,060.95",-1.53%
04/20/2021,"6,155.42","6,110.00","6,183.53","6,109.96",0.87%
04/19/2021,"6,102.21","6,124.09","6,167.55","6,093.73",-0.36%
04/18/2021,"6,124.09","6,131.69","6,205.31","6,108.69",-0.12%
04/15/2021,"6,131.69","6,039.26","6,131.72","6,038.53",1.53%
04/14/2021,"6,039.26","6,019.44","6,048.55","6,015.09",0.33%
04/13/2021,"6,019.44","6,090.66","6,098.80","6,011.74",-1.19%
04/12/2021,"6,091.64","6,069.70","6,101.22","6,048.91",0.35%
04/11/2021,"6,070.10","6,059.46","6,079.71","6,051.25",0.18%
04/08/2021,"6,059.05","6,032.33","6,062.17","6,001.49",0.43%
04/07/2021,"6,033.14","6,080.52","6,162.81","6,028.75",-0.78%
04/06/2021,"6,080.52","6,015.33","6,096.94","6,015.33",1.08%
04/05/2021,"6,015.33","5,953.22","6,024.67","5,953.22",1.04%
04/04/2021,"5,953.22","5,941.93","6,005.41","5,933.49",0.20%
04/01/2021,"5,941.52","5,904.74","5,960.84","5,867.22",0.49%
03/31/2021,"5,912.56","5,913.99","5,939.71","5,880.00",0.03%
03/30/2021,"5,910.66","5,823.73","5,926.65","5,823.73",1.49%
03/29/2021,"5,824.13","5,757.82","5,860.81","5,739.87",1.17%
03/28/2021,"5,756.85","5,726.61","5,771.83","5,716.55",0.53%
03/25/2021,"5,726.61","5,747.72","5,747.72","5,671.40",-0.32%
03/24/2021,"5,745.28","5,735.40","5,762.92","5,723.48",0.17%
03/23/2021,"5,735.40","5,734.42","5,740.73","5,719.11",0.03%
03/22/2021,"5,733.44","5,723.10","5,734.20","5,703.72",0.18%
03/21/2021,"5,723.10","5,736.10","5,758.32","5,718.40",-0.22%
